name,brand,category,skin_type,concerns,price,rating,description,ingredients,purchase_link,image_url
Gentle Foaming Cleanser,CeraVe,Cleanser,"Normal,Oily,Dry","Daily cleansing,Sensitive skin",12.99,4.5,"A gentle, non-comedogenic foaming facial cleanser that removes makeup and dirt without over-drying the skin. Contains essential ceramides and hyaluronic acid.","Ceramides, Hyaluronic Acid, Niacinamide, MVE Technology",https://www.cerave.com/skincare/cleansers/foaming-facial-cleanser,https://via.placeholder.com/300x400?text=CeraVe+Cleanser&bg=4A90E2&color=white
2% BHA Liquid Exfoliant,Paula's Choice,Treatment,"Oily,Normal","Acne,Blackheads,Large pores,Texture",32.0,4.7,"Powerful 2% BHA (Salicylic Acid) liquid exfoliant that unclogs pores, reduces blackheads, and smooths skin texture for a clearer complexion.","Salicylic Acid, Green Tea Extract, Methylpropanediol",https://www.paulaschoice.com/skin-perfecting-2pct-bha-liquid-exfoliant/201.html,https://via.placeholder.com/300x400?text=Paula+BHA&bg=E74C3C&color=white
Hyaluronic Acid 2% + B5,The Ordinary,Serum,"Normal,Dry,Oily","Dehydration,Fine lines,Plumping",8.9,4.3,Multi-molecular hyaluronic acid serum for intensive hydration at multiple skin depths. Provides long-lasting moisture retention.,"Sodium Hyaluronate, Hyaluronic Acid, Vitamin B5",https://theordinary.com/en-us/hyaluronic-acid-2-b5-serum-30ml,https://via.placeholder.com/300x400?text=TO+Hyaluronic&bg=8E44AD&color=white
Rapid Wrinkle Repair Retinol,Neutrogena,Treatment,"Normal,Oily","Anti-aging,Acne,Fine lines,Texture",18.99,4.2,Anti-aging night treatment with retinol SA to accelerate skin renewal and reduce the appearance of fine lines and wrinkles.,"Retinol SA, Hyaluronic Acid, Glucose Complex",https://www.neutrogena.com/products/skincare/rapid-wrinkle-repair,https://via.placeholder.com/300x400?text=Neutrogena+Retinol&bg=F39C12&color=white
Anthelios Ultra Light SPF 60,La Roche-Posay,Sunscreen,"Normal,Oily,Dry","Sun protection,Daily protection",26.99,4.6,"Lightweight, non-greasy broad spectrum sunscreen with SPF 60. Fast-absorbing formula with antioxidant protection.","Avobenzone, Homosalate, Octisalate, Octocrylene, Antioxidants",https://www.laroche-posay.us/anthelios-ultra-light-sunscreen-fluid,https://via.placeholder.com/300x400?text=LRP+SPF60&bg=27AE60&color=white
Moisturizing Cream,CeraVe,Moisturizer,"Dry,Normal","Hydration,Dry skin,Barrier repair",16.99,4.4,"Rich, non-greasy moisturizer with ceramides and MVE technology for 24-hour hydration and skin barrier restoration.","Ceramides 1, 3, 6-II, Hyaluronic Acid, MVE Technology",https://www.cerave.com/skincare/moisturizers/moisturizing-cream,https://via.placeholder.com/300x400?text=CeraVe+Cream&bg=3498DB&color=white
Niacinamide 10% + Zinc 1%,The Ordinary,Serum,"Oily,Normal","Acne,Large pores,Oil control,Blemishes",7.9,4.1,High-strength niacinamide serum to reduce appearance of skin blemishes and congestion. Controls oil production effectively.,"Niacinamide, Zinc PCA, Tamarindus Indica Seed Gum",https://theordinary.com/en-us/niacinamide-10pct-zinc-1pct-serum,https://via.placeholder.com/300x400?text=TO+Niacinamide&bg=9B59B6&color=white
Hydrating Facial Cleanser,CeraVe,Cleanser,"Dry,Normal","Gentle cleansing,Hydration,Sensitive skin",11.99,4.6,Non-foaming cream cleanser that removes dirt and makeup while maintaining the skin's natural protective barrier.,"Ceramides, Hyaluronic Acid, MVE Technology",https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,https://via.placeholder.com/300x400?text=CeraVe+Hydrating&bg=16A085&color=white
Vitamin C 23% + HA Spheres 2%,The Ordinary,Serum,"Normal,Oily","Anti-aging,Dark spots,Brightening",9.1,4.0,High-strength vitamin C serum for advanced signs of aging. Helps brighten skin and reduce dark spots.,"L-Ascorbic Acid, Sodium Hyaluronate Spheres",https://theordinary.com/en-us/vitamin-c-23pct-ha-spheres-2pct-serum,https://via.placeholder.com/300x400?text=TO+Vitamin+C&bg=E67E22&color=white
Oil-Free Acne Wash,Neutrogena,Cleanser,Oily,"Acne,Oil control,Deep cleansing",8.99,4.3,Oil-free acne fighting face wash with salicylic acid. Clears breakouts without over-drying skin.,"Salicylic Acid, Glycerin, Cocamidopropyl Betaine",https://www.neutrogena.com/products/skincare/oil-free-acne-wash,https://via.placeholder.com/300x400?text=Neutrogena+Acne&bg=C0392B&color=white
Toleriane Double Repair Moisturizer,La Roche-Posay,Moisturizer,"Normal,Dry,Sensitive","Hydration,Sensitive skin,Barrier repair",19.99,4.5,Face moisturizer with ceramides and niacinamide. Restores healthy-looking skin and provides 48-hour hydration.,"Ceramides, Niacinamide, Thermal Spring Water",https://www.laroche-posay.us/toleriane-double-repair-face-moisturizer,https://via.placeholder.com/300x400?text=LRP+Moisturizer&bg=2ECC71&color=white
Retinol 1% in Squalane,The Ordinary,Treatment,"Normal,Dry","Anti-aging,Fine lines,Texture",9.9,4.2,High-strength retinol serum in squalane base for advanced signs of aging. Promotes skin renewal and smoothness.,"Retinol, Squalane",https://theordinary.com/en-us/retinol-1pct-in-squalane-serum,https://via.placeholder.com/300x400?text=TO+Retinol&bg=8B008B&color=white
